New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Wed Apr 17 21:55:20 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_MS2	Total_MS3	Unique_MS2	Unique_MS3	Corrected_MS2	Corrected_MS3	PSMs_Used_MS2	TotInt_126C_MS2	TotInt_127N_MS2	TotInt_127C_MS2	TotInt_128N_MS2	TotInt_128C_MS2	TotInt_129N_MS2	TotInt_129C_MS2	TotInt_130N_MS2	TotInt_130C_MS2	TotInt_131N_MS2	TotInt_131C_MS2	PSMs_Used_MS3	TotInt_126C_MS3	TotInt_127N_MS3	TotInt_127C_MS3	TotInt_128N_MS3	TotInt_128C_MS3	TotInt_129N_MS3	TotInt_129C_MS3	TotInt_130N_MS3	TotInt_130C_MS3	TotInt_131N_MS3	TotInt_131C_MS3
639	1	sp|P0A9G2|NHAR_ECOLI	 	 	 	 	12.3	301	34284	Transcriptional activator protein NhaR OS=Escherichia coli (strain K12) OX=83333 GN=nhaR PE=1 SV=1	7	7	1.000	4	3	4	3	4.000	3.000	4	21107.780029	25179.397461	22418.987548	29885.08789	26934.253906	23563.972168	25902.54541	26560.362793	28685.518555000002	22185.179687	150.0	3	9117.959595	10258.206665	8982.819092	11700.676391	11741.621215	10009.586181	10905.457885	11418.761719999999	10796.447876	10702.289307	150.0
640	1	sp|P0A9G6|ACEA_ECOLI	 	 	 	 	78.3	434	47521	Isocitrate lyase OS=Escherichia coli (strain K12) OX=83333 GN=aceA PE=1 SV=1	431	431	1.000	231	200	231	200	231.000	200.000	231	34304578.48752101	40886080.248165004	32422868.713593986	40328242.04550402	48810889.374573015	33439836.924769994	43694095.11826302	44026122.53304902	38227842.673193015	33734055.39117499	720626.5629139999	200	30707331.56594799	35663536.31268601	29355309.925745003	34328187.07568699	43104542.789005004	25422454.68569699	38479025.638429	37684013.67595999	33112501.28240901	28683387.701564997	399393.378662
641	1	sp|P0A9G8|MODE_ECOLI	 	 	 	 	31.3	262	28281	Transcriptional regulator ModE OS=Escherichia coli (strain K12) OX=83333 GN=modE PE=1 SV=1	12	12	1.000	7	5	7	5	7.000	5.000	7	287139.034792	316192.82544000004	281262.48132400005	352300.89477400004	389093.953002	313822.00146600005	354091.80542	347405.44299300003	326461.36621	304615.679443	2725.37619	5	127426.099121	149851.166992	135564.75097700002	156838.273438	179701.116699	143269.201172	164678.48925699998	165796.833498	148734.997071	139854.816894	1996.4413150000003
642	1	sp|P0A9H1|MUG_ECOLI	 	 	 	 	54.8	168	18673	G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) OX=83333 GN=mug PE=1 SV=1	28	28	1.000	17	11	17	11	17.000	11.000	17	804433.2642210001	846794.2597660002	803047.0601810002	959961.3266599999	988609.109254	964743.4782690001	1033041.1368399999	1030752.814332	934135.739866	881985.9549579999	27005.744140000006	11	545482.039673	592647.1954360001	560939.8695070002	656330.0532220002	698396.6301259999	594784.7429210001	672135.6539299999	648011.327393	616008.3293460001	582680.593872	14415.476837999999
643	1	sp|P0A9H3|LDCI_ECOLI	 	 	 	 	26.9	715	81259	Inducible lysine decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=cadA PE=1 SV=1	39	39	1.000	26	13	26	13	26.000	13.000	26	333002.377077	342378.236207	315229.295167	389853.24853599997	399233.37036299997	350397.95654399996	399316.56591500004	388478.355225	362865.128782	371069.062988	5200.7048030000005	13	180405.096679	183749.425659	165545.114502	210174.593017	213645.97363100003	183579.42492700001	214130.56616399996	194974.344238	195967.99682600002	212214.759765	322.903717
644	1	sp|P0A9H5|BTUR_ECOLI	 	 	 	 	32.7	196	21999	Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=btuR PE=3 SV=1	20	20	1.000	12	8	12	8	12.000	8.000	12	304217.112672	319096.575196	296736.134034	347033.750489	363653.65942399995	303825.626465	367860.251833	372472.66870000004	312609.819457	317500.17541599995	2612.2268059999997	8	257667.228271	280905.35205	252567.709715	303066.428589	319304.48876800004	271807.23144500004	330246.17517100007	315796.570802	276716.572632	276497.59570400004	977.254806
645	1	sp|P0A9H7|CFA_ECOLI	 	 	 	 	48.2	382	43909	Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) OX=83333 GN=cfa PE=1 SV=2	35	35	1.000	20	15	20	15	20.000	15.000	20	745299.1442880001	776557.901369	727417.719483	862038.053467	922656.3393550002	761864.0993659999	879429.615478	874697.0617669999	771358.399905	790006.0405280001	11377.882354000001	15	546471.8004130002	581418.685668	535930.3596190001	613757.639404	710384.364624	531942.903685	657163.243898	635163.024167	569802.3779290001	572898.8774410001	6815.018677999999
646	1	sp|P0A9I3|GCVR_ECOLI	 	 	 	 	11.1	190	20768	Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) OX=83333 GN=gcvR PE=1 SV=2	7	7	1.000	5	2	5	2	5.000	2.000	5	17378.046143000003	27085.045045000003	23617.577392	17350.461424999998	29944.302491	35028.321045	27983.365967000005	28809.052734	24902.556762	17588.485106	150.0	2	3264.220703	3538.661865	3886.368042	3986.5604249999997	4233.468262	2999.183838	3502.381103	4188.624511999999	3336.017334	3443.9572749999998	150.0
647	1	sp|P0A9J0|RNG_ECOLI	 	 	 	 	53.0	489	55364	Ribonuclease G OS=Escherichia coli (strain K12) OX=83333 GN=rng PE=1 SV=2	52	52	1.000	28	24	28	24	28.000	24.000	28	499662.321287	503127.6197529999	490767.4532469999	566214.735837	596148.751101	495115.14038	601341.691162	585489.4069809999	542232.0751959999	541410.148441	10254.564544	24	456312.820556	448258.4484860001	446336.8560780001	509619.02539399994	549251.892579	349540.92395200004	524303.873046	538533.28833	450763.109131	482144.00634699996	3819.085312
648	1	sp|P0A9J4|PANE_ECOLI	 	 	 	 	13.9	303	33870	2-dehydropantoate 2-reductase OS=Escherichia coli (strain K12) OX=83333 GN=panE PE=1 SV=1	7	7	1.000	4	3	4	3	4.000	3.000	4	57113.66735900001	67728.41308500001	53911.07690500001	69738.992431	78867.06420799998	57118.41467300001	69506.123047	72024.8208	65522.822999	58621.897218	1484.38562	3	39942.233886999995	48898.261231	41254.875976999996	46535.630859	62814.399415	44843.714844	49797.120606	49015.969239	45051.459961	44467.865722999995	1802.002015
649	1	sp|P0A9J6|RBSK_ECOLI	 	 	 	 	29.1	309	32290	Ribokinase OS=Escherichia coli (strain K12) OX=83333 GN=rbsK PE=1 SV=1	20	20	1.000	13	7	13	7	13.000	7.000	13	274960.4093020001	378696.4581290001	283291.45422200003	335405.737182	419000.109133	298288.050903	352113.58203100006	346901.917847	338718.05163600005	293796.550049	5161.362977000001	7	112281.052489	156845.887695	118131.59399299999	134449.979614	174441.30151399996	124797.667114	144105.365723	142851.291015	136463.952881	122447.971436	1702.89032
650	1	sp|P0A9J8|PHEA_ECOLI	 	 	 	 	37.3	386	43111	P-protein OS=Escherichia coli (strain K12) OX=83333 GN=pheA PE=1 SV=1	36	36	1.000	20	16	20	16	20.000	16.000	20	917632.8554709998	933931.352296	895450.6914070001	1021701.541016	1100321.639403	911844.7707499999	1081052.595214	1049741.4611809999	947622.386964	930662.3044429999	20900.737336	16	501059.846559	483970.613526	491416.206542	541951.2591550001	563892.484986	483154.49679699994	579766.7525630001	564792.660399	480301.3459470001	499565.359773	3861.3715519999996
651	1	sp|P0A9K1|PHOH_ECOLI	 	 	 	 	14.7	354	39264	Protein PhoH OS=Escherichia coli (strain K12) OX=83333 GN=phoH PE=1 SV=1	6	6	1.000	4	2	4	2	4.000	2.000	4	65553.521484	65820.432129	56703.448485999994	73370.96582	77155.891601	72250.173828	81838.361328	83301.37793	73919.175293	81191.84668	295.016022	2	52508.222656	49237.041992	47201.756836	58400.107422	58462.44043	54443.72168	61323.143554999995	60957.123047	53302.515625	55722.70312400001	1989.366821
652	1	sp|P0A9K3|PHOL_ECOLI	 	 	 	 	68.5	346	39038	PhoH-like protein OS=Escherichia coli (strain K12) OX=83333 GN=ybeZ PE=1 SV=2	72	72	1.000	40	32	40	32	40.000	32.000	40	2962931.2629380003	3056394.4243179997	2846298.4010019996	3564151.2934569996	3678632.069336	3015409.0837389994	3615399.4365249993	3538995.836426	3091751.763184	3212264.3342279997	24042.426789999998	32	2045185.9457430004	2124773.114261	1932189.8322150002	2394407.7802129993	2606690.850585	2095716.294343	2498693.6607370004	2471096.90558	2141545.5532220006	2231932.09436	59665.23797700001
653	1	sp|P0A9K7|PHOU_ECOLI	 	 	 	 	32.8	241	27417	Phosphate-specific transport system accessory protein PhoU OS=Escherichia coli (strain K12) OX=83333 GN=phoU PE=1 SV=1	22	22	1.000	12	10	12	10	12.000	10.000	12	294745.16308599996	373442.179199	280003.34423800005	388159.32397599996	444262.61053599993	322801.507477	396496.052979	383877.838991	373895.314333	320469.37634300004	8957.235717	10	427466.994904	595128.506226	418693.40307500004	532486.3028549999	672280.976441	475776.244995	553281.794677	561299.751342	512790.542236	489477.661011	4309.367737
654	1	sp|P0A9K9|SLYD_ECOLI	 	 	 	 	46.4	196	20853	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD OS=Escherichia coli (strain K12) OX=83333 GN=slyD PE=1 SV=1	44	44	1.000	25	19	25	19	25.000	19.000	25	411305.29205299995	600571.5225219999	427971.59191899985	533869.3132310002	631814.0393060002	526921.1765139999	580154.00952	555291.301149	550417.293701	558227.2862539999	2220.028565	19	353682.104553	538332.243408	418860.829713	476946.3891609999	612247.355468	453587.2084360001	503894.76940899994	504649.32409799995	481576.0766609999	564132.844236	13916.96875
655	1	sp|P0A9L3|FKBB_ECOLI	 	 	 	 	39.3	206	22216	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) OX=83333 GN=fklB PE=1 SV=2	40	40	1.000	24	16	24	16	24.000	16.000	24	1371359.795532	1810484.5407699998	1385797.639406	1598670.6973899999	2040008.540038	1508733.046264	1687788.6760250002	1705190.793213	1602493.8702399998	1476727.7287599999	44114.521239999995	16	548172.3833	777816.28662	564761.340821	652345.0341780001	850650.1791989999	624347.9746080001	695640.583738	693326.4145510001	673088.8251949999	645264.2333990001	10053.883118000002
656	1	sp|P0A9L5|PPIC_ECOLI	 	 	sp|P0A9L5|PPIC_ECOLI, sp|P0ABZ6|SURA_ECOLI	 	83.9	93	10232	Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) OX=83333 GN=ppiC PE=1 SV=2	26	23	0.885	17	9	15	8	15.366	8.148	15	535116.8068840001	560093.6972660001	546947.052246	601157.9123539999	725702.3093249999	505533.8667	682319.104493	666533.47119	599919.410889	578218.985351	10405.296752999999	8	502677.70312499994	526541.551758	508102.137696	592890.39746	694002.919921	478813.919921	643636.3486319999	637382.172851	570682.9101570001	547423.750001	6446.6881410000005
657	1	sp|P0A9L8|P5CR_ECOLI	 	 	 	 	40.1	269	28145	Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) OX=83333 GN=proC PE=1 SV=1	47	47	1.000	27	20	27	20	27.000	20.000	27	1276685.9985370003	1410593.8706059998	1309766.4653309998	1493430.351563	1718496.2368170002	1297985.404784	1642651.6186529999	1616402.291505	1367309.894531	1209370.0703119999	41290.042173999995	20	1215198.955568	1366202.7368170002	1170789.793456	1379997.713868	1645000.1318339999	1155004.922361	1506984.585939	1469142.6591800002	1343019.183107	1188691.6645509999	26438.311447
658	1	sp|P0A9M0|LON_ECOLI	 	 	 	 	66.5	784	87437	Lon protease OS=Escherichia coli (strain K12) OX=83333 GN=lon PE=1 SV=1	325	325	1.000	175	150	175	150	175.000	150.000	175	12721605.825561993	12025054.406372998	12488065.742889002	13756756.081308004	14125375.157105997	12857613.096317993	14752288.047113992	14348019.871456005	13198215.675654002	13747292.966802	249224.10660499998	150	13599174.850041	12602530.694496	13054836.627379995	14485587.960879996	15378176.690950999	13811702.748724002	15620921.659941006	15183405.221166	14079049.099609	14491298.769596996	222598.01986600005
659	1	sp|P0A9M2|HPRT_ECOLI	 	 	 	 	47.8	178	20115	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=hpt PE=1 SV=1	27	27	1.000	14	13	14	13	14.000	13.000	14	532113.220826	708815.0517589998	560184.929625	654731.570067	815534.3061520001	586936.6130380001	699318.8275150001	687612.0408909998	652699.9122299999	520220.042114	20694.489502	13	608978.6463	813267.48224	610307.247557	750653.600037	945584.0202029999	657928.3711550001	790378.6920779999	824829.4409790001	711498.0737310001	645766.842225	2155.908218
660	1	sp|P0A9M8|PTA_ECOLI	 	 	 	 	57.8	714	77171	Phosphate acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pta PE=1 SV=2	195	195	1.000	111	84	111	84	111.000	84.000	111	6087614.526244001	5900838.183962998	5654736.116335003	6741977.362061999	7108579.742795	5816227.494996999	7079589.109620001	6903793.91455	6021972.269771998	5955937.7448729975	93931.02476499998	84	4804207.092352	4713937.987063	4672235.238007	5280118.847843	5817606.677920001	4690214.025754999	5862835.288697001	5686697.940063001	4925598.763002	4939417.322207999	76932.79124300001
661	1	sp|P0A9N4|PFLA_ECOLI	 	 	 	 	68.7	246	28204	Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) OX=83333 GN=pflA PE=1 SV=2	63	63	1.000	33	30	33	30	33.000	30.000	33	801794.1472179998	925682.3918469999	804085.6610740003	951969.1279290002	1082954.5285659998	814280.5278920002	928654.9931650001	976174.455443	844521.313846	825532.040895	21371.947542	30	2058606.7009300003	2536912.4225450004	2020241.511109	2497507.015505	2860622.1669940003	2107736.9718049997	2398060.544556	2568962.9721679995	2257079.0883799996	2261289.4776600003	25135.666443999995
662	1	sp|P0A9P0|DLDH_ECOLI	 	 	 	 	65.8	474	50688	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=lpdA PE=1 SV=2	221	221	1.000	126	95	126	95	126.000	95.000	126	13553408.503055	13217484.195310002	13445879.846435994	15306495.669924991	16269308.757565	13299683.395019006	16430410.358887004	15915119.117185	13471396.166019993	13968584.054443998	319621.04895200004	95	22812680.835206	23069256.240602005	22322248.645512003	25304525.497680005	27867122.169069	22029621.085204992	26657544.845094997	26425721.409302	23185617.27026201	24057872.406129993	226301.414048
663	1	sp|P0A9P4|TRXB_ECOLI	 	 	 	 	68.8	321	34623	Thioredoxin reductase OS=Escherichia coli (strain K12) OX=83333 GN=trxB PE=1 SV=2	58	58	1.000	34	24	34	24	34.000	24.000	34	974792.4583749998	1213437.949036	945246.1367189998	1154673.7380990002	1361482.589477	1009941.2456070001	1169451.28421	1196788.42407	1093730.0841040001	984982.9025239999	5413.326720999999	24	859617.6015019999	1081179.2998969997	852883.3413390003	1016155.5912479999	1276107.496398	856382.0602410003	1038471.9506849999	1074856.3809220002	953536.848983	862672.6648860002	27489.546126999998
664	1	sp|P0A9P6|DEAD_ECOLI	 	 	 	 	11.6	629	70545	ATP-dependent RNA helicase DeaD OS=Escherichia coli (strain K12) OX=83333 GN=deaD PE=1 SV=2	11	11	1.000	6	5	6	5	6.000	5.000	6	81070.5188	85510.693482	85562.406617	99163.813964	106430.69885300001	93593.06543000002	105589.806884	90134.119994	89298.26904300001	80356.460572	150.0	5	28366.923949999997	27825.296143	30656.105102	37573.271728	47900.384032999995	37742.798339	49673.519775	36695.327881000005	33539.442505	31952.309327	150.0
665	1	sp|P0A9P9|IDNO_ECOLI	 	 	 	 	15.4	254	27562	5-keto-D-gluconate 5-reductase OS=Escherichia coli (strain K12) OX=83333 GN=idnO PE=1 SV=1	3	3	1.000	2	1	2	1	2.000	1.000	2	15353.548339	11183.329102	34838.110352	71989.401367	24693.073242	29702.758300999998	60921.853515	16944.651855	73258.710449	64169.66503999999	150.0	1	9028.803711	8192.53418	8655.625	9907.06543	10919.208984	9036.600586	10888.821289	10241.875	11644.94043	8993.404297	150.0
666	1	sp|P0A9Q1|ARCA_ECOLI	 	 	 	 	64.3	238	27292	Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) OX=83333 GN=arcA PE=1 SV=1	92	92	1.000	54	38	54	38	54.000	38.000	54	4792439.546936999	5508046.235961	4722354.7636710005	5580940.943542998	6384269.756288001	5093062.190673001	5836190.738711001	5955301.476011001	5368090.944949002	5225109.707765001	109317.37612800002	38	3089244.951295	3598601.799441	3083435.9927980006	3546470.649049	4042550.613649	3390754.3813499995	3674861.6776120006	3820733.099120001	3554732.9483650005	3545874.5306399995	52744.774811
667	1	sp|P0A9Q5|ACCD_ECOLI	 	 	sp|P0A9Q5|ACCD_ECOLI, sp|P0A9U8|YDIO_ECOLI	 	58.9	304	33322	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=accD PE=1 SV=1	80	76	0.950	42	38	40	36	41.951	38.000	40	3220611.170901001	3247586.252318001	3221716.63269	3523936.5091600004	3751620.6125490004	3234306.0095189996	3799147.362673	3690671.3403310007	3282229.175417	3268979.7164310003	44878.46017299999	36	1935169.3728660003	1897465.4613650006	1935196.2163690005	2121737.258853	2236047.8808579994	1964411.293977	2276983.611053	2199009.126648	1955675.4607230003	1902362.3843979998	14976.522125
668	1	sp|P0A9Q7|ADHE_ECOLI	 	 	 	 	69.7	891	96126	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=adhE PE=1 SV=2	318	318	1.000	189	129	189	129	189.000	129.000	189	15456174.821991002	14464237.813843	14800686.602963008	16380756.341458006	16721591.720700998	15280669.027616002	17470615.70156901	16907513.634488005	15432459.660770992	16236396.854612999	160383.22192200006	129	19684886.268890996	18436949.562258	19310013.965095002	20826770.912967995	21937430.430421997	19467620.968082003	22533256.95471099	21814711.613409996	19474416.286073998	21508079.626162007	356318.9144919999
669	1	sp|P0A9Q9|DHAS_ECOLI	 	 	 	 	53.4	367	40017	Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=asd PE=1 SV=1	59	59	1.000	32	27	32	27	32.000	27.000	32	1078624.531984	1203921.752804	1084816.8151850002	1212723.767334	1386060.2539060002	1091748.446775	1318647.633056	1271390.491946	1248937.0834980002	1182828.1120590002	9687.919311999998	27	858060.132081	1059676.8133550002	875230.459471	1013450.0198970002	1218687.5561489998	934923.148803	1128632.0358860001	1132425.937376	1029828.795288	968124.9078970001	12899.934890999999
670	1	sp|P0A9R4|FER_ECOLI	 	 	 	 	63.1	111	12331	2Fe-2S ferredoxin OS=Escherichia coli (strain K12) OX=83333 GN=fdx PE=1 SV=2	24	24	1.000	14	10	14	10	14.000	10.000	14	220319.19189400002	308833.6494129999	247947.983886	283871.552734	332053.05127099995	268285.54052700003	309010.060059	290190.722656	299743.06542899995	246958.01025500003	6185.809996	10	172592.327026	248112.383545	182154.03735299996	210733.21582199997	268915.30053500005	184602.077638	233354.400391	239321.204102	227819.19018700003	193916.336426	4120.005249
671	1	sp|P0A9R7|FTSE_ECOLI	 	 	 	 	34.7	222	24439	Cell division ATP-binding protein FtsE OS=Escherichia coli (strain K12) OX=83333 GN=ftsE PE=1 SV=1	12	12	1.000	8	4	8	4	8.000	4.000	8	275728.601561	281100.250489	269662.843019	307389.900393	327912.982179	277754.170899	264835.099608	312642.87890500005	258330.34204199997	286395.397217	7008.384888	4	40891.173706	40308.182618000006	42825.335694	43611.139404	49752.344482	44052.762695	41325.364258	46994.57434	37124.601806000006	39951.141296999995	1219.129639
672	1	sp|P0A9S1|FUCO_ECOLI	 	 	 	 	20.4	382	40513	Lactaldehyde reductase OS=Escherichia coli (strain K12) OX=83333 GN=fucO PE=1 SV=2	13	13	1.000	7	6	7	6	7.000	6.000	7	132802.438478	165162.737305	126528.723145	158398.767579	175934.101563	141376.183592	181350.344726	173628.467775	153817.20996	129901.921875	2698.830597	6	49701.059142	66620.192139	48163.404479000004	60170.806579	78347.691162	56976.96911599999	70045.94073500001	71646.96960499999	66391.050201	48607.187988	642.212708
673	1	sp|P0A9S3|GATD_ECOLI	 	 	 	 	47.4	346	37390	Galactitol 1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gatD PE=1 SV=1	72	72	1.000	44	28	44	28	44.000	28.000	44	2433351.3871500003	2529311.1802379997	2183890.9115609997	2642203.1202390003	3024781.6027830006	2291712.731385	2775772.8861670014	2759152.8312699995	2462978.2823509993	2397813.7948620007	31905.519744	28	1305992.2062070002	1367173.99988	1211208.598206	1421102.109863	1564746.7882699997	1236877.1215189998	1521168.2338270005	1508353.954591	1335436.728088	1290867.9285890001	16930.619629
674	1	sp|P0A9S5|GLDA_ECOLI	 	 	 	 	36.0	367	38712	Glycerol dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gldA PE=1 SV=1	32	32	1.000	18	14	18	14	18.000	14.000	18	639555.197263	965454.5986949998	684898.3100569998	904512.5997319999	1113969.1328140001	762486.3279420001	977450.7860110002	920728.154783	855769.3923930001	727324.6475209999	21048.724578999998	14	422799.634521	654168.396728	450365.98022299993	599371.723877	797160.868165	509632.24463000003	678660.116943	618972.308351	604333.4403070001	533314.825438	15003.153535999998
675	1	sp|P0A9T0|SERA_ECOLI	 	 	 	 	37.8	410	44175	D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=serA PE=1 SV=2	43	43	1.000	22	21	22	21	22.000	21.000	22	1195631.95929	1125691.3427750003	1186503.904296	1314761.642823	1393225.280763	1152933.9702150002	1377205.2531730002	1389249.2416969999	1199846.401858	1246460.40039	16044.565490999998	21	1373191.885375	1264738.6815199999	1336184.4179679998	1433941.755129	1608244.0009779998	1231998.9335949998	1562640.8852539998	1538140.5871569999	1361870.2363270002	1343616.2340089998	25549.337922
676	1	sp|P0A9T4|TAS_ECOLI	 	 	 	 	40.2	346	38499	Protein tas OS=Escherichia coli (strain K12) OX=83333 GN=tas PE=1 SV=1	36	36	1.000	18	18	18	18	18.000	18.000	18	790247.429259	787299.605469	776419.1187730002	869884.8020019999	874688.118897	733258.968994	934508.103089	867964.1928700001	799942.457151	803940.1212149999	10403.803220999998	18	339540.586913	344273.049928	343740.92449799995	387140.48290999996	426941.479739	353349.46701	429631.4913329999	397612.84790200007	381822.67529399996	369783.122072	10437.779235999998
677	1	sp|P0A9T8|YBBA_ECOLI	 	 	sp|P0A9T8|YBBA_ECOLI, sp|P75796|GSIA_ECOLI	 	19.3	228	24533	Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) OX=83333 GN=ybbA PE=3 SV=1	5	4	0.800	3	2	3	1	3.000	1.200	3	93872.68408199999	137215.97363199998	106117.947753	110155.177734	149373.001953	105277.613281	120796.901368	124442.51855600001	116134.3125	104735.642578	434.411316	1	3825.382812	3865.234375	3191.803711	4599.071289	4335.23877	4134.044434	3827.654053	4191.45752	3669.7558590000003	4285.801758	150.0
678	1	sp|P0A9U1|YBHF_ECOLI	 	 	 	 	6.2	578	63132	Probable multidrug ABC transporter ATP-binding protein YbhF OS=Escherichia coli (strain K12) OX=83333 GN=ybhF PE=1 SV=1	6	6	1.000	5	1	5	1	5.000	1.000	5	31471.012145999997	34414.636351	29956.507200999997	38476.27832	38912.849976000005	36456.629638	34854.537109	37038.776612	36717.721313	34066.582398	208.673111	1	1738.8072510000002	1751.176025	1344.71167	2255.5158690000003	2023.1383059999998	1641.286987	1977.857666	1587.774292	1413.949951	1886.987305	150.0
679	1	sp|P0A9U3|YBIT_ECOLI	 	 	 	 	43.0	530	59857	Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) OX=83333 GN=ybiT PE=1 SV=1	79	79	1.000	49	30	49	30	49.000	30.000	49	1910169.5086660003	1953854.671692	1897136.45813	2231601.3658420006	2321408.3493629997	1940870.349853	2276295.5617690007	2230263.290526	2000008.1004640004	1914111.5659180002	37248.54817000001	30	639709.224611	663063.6259440001	661657.421386	737944.556764	790314.0907599999	640084.7257089999	764440.8004129999	748725.6975099999	695989.391358	663600.871706	13215.176665999998
680	1	sp|P0A9U8|YDIO_ECOLI	 	 	sp|P0A9Q5|ACCD_ECOLI, sp|P0A9U8|YDIO_ECOLI	 	3.7	383	43002	Probable acyl-CoA dehydrogenase YdiO OS=Escherichia coli (strain K12) OX=83333 GN=ydiO PE=3 SV=1	5	1	0.200	3	2	1	0	1.049	0.000	1	14682.851562	15963.668945	16547.865234	22443.035156	18628.076172	16039.793945	22474.894531	20641.310547	15511.445312	16919.357422	331.809875	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
681	1	sp|P0A9V1|LPTB_ECOLI	 	 	 	 	41.9	241	26800	Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) OX=83333 GN=lptB PE=1 SV=2	30	30	1.000	15	15	15	15	15.000	15.000	15	548340.230227	603673.294921	534058.739989	648050.532225	742894.1088859999	561284.797851	662634.223633	697489.223146	575363.239014	569467.168945	2770.1474749999998	15	256514.307128	296751.389159	244086.48144600002	306756.033691	354971.94970800006	269483.85278300004	320574.986084	333914.97485299996	297880.634032	282170.291504	6299.6747430000005
682	1	sp|P0A9W0|ULAR_ECOLI	 	 	 	 	23.5	251	27602	HTH-type transcriptional regulator UlaR OS=Escherichia coli (strain K12) OX=83333 GN=ulaR PE=1 SV=1	20	20	1.000	12	8	12	8	12.000	8.000	12	292662.737793	311045.4785170001	293709.623049	331322.28906299995	359177.95019799995	310790.6821280001	359920.453126	344820.48291099997	327271.0122059999	307728.039552	4463.921601	8	171051.85507200003	174420.438966	190489.336852	194690.47168100002	208463.726685	211561.953797	206996.984863	198408.832214	195359.948547	192831.12371900002	5370.182922
683	1	sp|P0A9W3|ETTA_ECOLI	 	 	 	 	78.0	555	62442	Energy-dependent translational throttle protein EttA OS=Escherichia coli (strain K12) OX=83333 GN=ettA PE=1 SV=2	248	248	1.000	138	110	138	110	138.000	110.000	138	6876664.399656003	6536859.613156002	6670677.873534002	7771998.618899001	7794234.376467998	7040659.894902999	7969807.735107002	7670833.398075998	7135940.730712999	7430432.859009001	88551.57760800004	110	8059649.670226998	7615261.592286999	7768914.516724003	8829675.407716004	9024953.694580998	7904206.706791004	9234880.425417999	9087049.953004003	8160154.469939001	8730230.285829	135697.71161199998
684	1	sp|P0A9W6|IBAG_ECOLI	 	 	 	 	39.3	84	9452	Acid stress protein IbaG OS=Escherichia coli (strain K12) OX=83333 GN=ibaG PE=1 SV=1	6	6	1.000	2	4	2	4	2.000	4.000	2	38534.472656000005	39828.619141	37831.909668	41252.90039	50325.980469	39102.208008	39316.688477	46944.907227	40104.458008	40671.77246	1444.0389400000001	4	187494.361145	223063.972657	221464.017578	184767.35555900002	248330.154541	218311.800414	208827.52069	230910.210877	200455.606628	201057.60040199998	1122.27063
685	1	sp|P0A9W9|YRDA_ECOLI	 	 	 	 	62.5	184	20245	Protein YrdA OS=Escherichia coli (strain K12) OX=83333 GN=yrdA PE=1 SV=1	26	26	1.000	13	13	13	13	13.000	13.000	13	427350.791687	583984.003663	444521.063354	495554.716676	645256.6639399999	495558.98181200004	540655.860962	544006.348511	523556.167724	457534.563719	9142.960816	13	318466.516602	412488.727052	317524.848144	365724.434081	447225.974607	347395.735841	394547.622558	397212.942381	380162.94628900004	324195.532471	7076.349579
