PAW protein_summary_9 results file
written: Wed Apr 17 21:55:00 2019

 	=subtotal(109,B6:B2339)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
230.0	1	sp|P05707|SRLD_ECOLI	 	26.3	259	27858	Sorbitol-6-phosphate 2-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=srlD PE=1 SV=2	14	14	1.000	8	6	8	6	8.000	6.000	 
231.0	1	sp|P05791|ILVD_ECOLI	 	44.0	616	65531	Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=ilvD PE=1 SV=5	61	61	1.000	33	28	33	28	33.000	28.000	 
232.0	1	sp|P05793|ILVC_ECOLI	 	47.3	491	54068	Ketol-acid reductoisomerase (NADP(+)) OS=Escherichia coli (strain K12) OX=83333 GN=ilvC PE=1 SV=4	50	50	1.000	31	19	31	19	31.000	19.000	 
233.0	1	sp|P05804|BGLR_ECOLI	 	30.0	603	68446	Beta-glucuronidase OS=Escherichia coli (strain K12) OX=83333 GN=uidA PE=1 SV=2	42	42	1.000	25	17	25	17	25.000	17.000	 
234.0	1	sp|P05825|FEPA_ECOLI	 	16.8	746	82106	Ferrienterobactin receptor OS=Escherichia coli (strain K12) OX=83333 GN=fepA PE=1 SV=2	14	14	1.000	9	5	9	5	9.000	5.000	 
235.0	1	sp|P05827|ILVY_ECOLI	 	28.6	297	33204	HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) OX=83333 GN=ilvY PE=4 SV=1	9	9	1.000	7	2	7	2	7.000	2.000	 
236.0	1	sp|P05852|TSAD_ECOLI	 	34.1	337	36008	tRNA N6-adenosine threonylcarbamoyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=tsaD PE=1 SV=2	31	31	1.000	17	14	17	14	17.000	14.000	 
237.0	1	sp|P06129|BTUB_ECOLI	 	18.9	614	68406	Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) OX=83333 GN=btuB PE=1 SV=2	21	21	1.000	11	10	11	10	11.000	10.000	 
238.0	1	sp|P06134|ADA_ECOLI	 	10.5	354	39323	Bifunctional transcriptional activator/DNA repair enzyme Ada OS=Escherichia coli (strain K12) OX=83333 GN=ada PE=1 SV=2	6	6	1.000	4	2	4	2	4.000	2.000	 
239.0	1	sp|P06149|DLD_ECOLI	 	62.0	571	64612	Quinone-dependent D-lactate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=dld PE=1 SV=3	117	117	1.000	68	49	68	49	68.000	49.000	 
240.0	1	sp|P06282|CDH_ECOLI	 	16.3	251	28450	CDP-diacylglycerol pyrophosphatase OS=Escherichia coli (strain K12) OX=83333 GN=cdh PE=3 SV=1	6	6	1.000	4	2	4	2	4.000	2.000	 
241.0	1	sp|P06610|BTUE_ECOLI	 	73.8	183	20469	Thioredoxin/glutathione peroxidase BtuE OS=Escherichia coli (strain K12) OX=83333 GN=btuE PE=1 SV=1	22	22	1.000	14	8	14	8	14.000	8.000	 
242.0	1	sp|P06612|TOP1_ECOLI	 	65.7	865	97349	DNA topoisomerase 1 OS=Escherichia coli (strain K12) OX=83333 GN=topA PE=1 SV=2	156	156	1.000	87	69	87	69	87.000	69.000	 
243.0	1	sp|P06616|ERA_ECOLI	 	29.2	301	33810	GTPase Era OS=Escherichia coli (strain K12) OX=83333 GN=era PE=1 SV=2	27	27	1.000	17	10	17	10	17.000	10.000	 
244.0	1	sp|P06709|BIRA_ECOLI	 	37.1	321	35312	Bifunctional ligase/repressor BirA OS=Escherichia coli (strain K12) OX=83333 GN=birA PE=1 SV=1	17	17	1.000	9	8	9	8	9.000	8.000	 
245.0	1	sp|P06710|DPO3X_ECOLI	 	40.7	643	71137	DNA polymerase III subunit tau OS=Escherichia coli (strain K12) OX=83333 GN=dnaX PE=1 SV=1	65	65	1.000	34	31	34	31	34.000	31.000	 
246.0	1	sp|P06715|GSHR_ECOLI	 	44.2	450	48772	Glutathione reductase OS=Escherichia coli (strain K12) OX=83333 GN=gor PE=1 SV=1	57	57	1.000	33	24	33	24	33.000	24.000	 
247.0	1	sp|P06720|AGAL_ECOLI	 	35.3	451	50657	Alpha-galactosidase OS=Escherichia coli (strain K12) OX=83333 GN=melA PE=1 SV=1	52	52	1.000	30	22	30	22	30.000	22.000	 
248.0	1	sp|P06721|METC_ECOLI	 	25.6	395	43212	Cystathionine beta-lyase MetC OS=Escherichia coli (strain K12) OX=83333 GN=metC PE=1 SV=1	23	23	1.000	14	9	14	9	14.000	9.000	 
249.0	1	sp|P06846|EBGR_ECOLI	 	19.0	327	36210	HTH-type transcriptional regulator EbgR OS=Escherichia coli (strain K12) OX=83333 GN=ebgR PE=4 SV=2	12	10	0.833	7	5	6	4	6.125	4.105	sp|P06846|EBGR_ECOLI, sp|P13009|METH_ECOLI
250.0	1	sp|P06959|ODP2_ECOLI	 	61.4	630	66095	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3	205	205	1.000	115	90	115	90	115.000	90.000	 
251.0	1	sp|P06961|CCA_ECOLI	 	48.8	412	46467	Multifunctional CCA protein OS=Escherichia coli (strain K12) OX=83333 GN=cca PE=1 SV=1	34	34	1.000	16	18	16	18	16.000	18.000	 
252.0	1	sp|P06966|DICA_ECOLI	 	29.6	135	15656	HTH-type transcriptional regulator DicA OS=Escherichia coli (strain K12) OX=83333 GN=dicA PE=4 SV=1	10	10	1.000	6	4	6	4	6.000	4.000	 
253.0	1	sp|P06968|DUT_ECOLI	 	26.5	151	16155	Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Escherichia coli (strain K12) OX=83333 GN=dut PE=1 SV=1	13	13	1.000	8	5	8	5	8.000	5.000	 
254.0	1	sp|P06971|FHUA_ECOLI	 	42.3	747	82181	Ferrichrome outer membrane transporter/phage receptor OS=Escherichia coli (strain K12) OX=83333 GN=fhuA PE=1 SV=2	53	53	1.000	27	26	27	26	27.000	26.000	 
255.0	1	sp|P06974|FLIM_ECOLI	 	29.0	334	37849	Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) OX=83333 GN=fliM PE=1 SV=1	13	13	1.000	8	5	8	5	8.000	5.000	 
256.0	1	sp|P06983|HEM3_ECOLI	 	56.5	313	33851	Porphobilinogen deaminase OS=Escherichia coli (strain K12) OX=83333 GN=hemC PE=1 SV=2	32	32	1.000	17	15	17	15	17.000	15.000	 
257.0	1	sp|P06986|HIS8_ECOLI	 	56.7	356	39360	Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=hisC PE=1 SV=2	39	39	1.000	20	19	20	19	20.000	19.000	 
258.0	1	sp|P06987|HIS7_ECOLI	 	51.0	355	40278	Histidine biosynthesis bifunctional protein HisB OS=Escherichia coli (strain K12) OX=83333 GN=hisB PE=1 SV=1	56	56	1.000	32	24	32	24	32.000	24.000	 
259.0	1	sp|P06988|HISX_ECOLI	 	23.3	434	46110	Histidinol dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=hisD PE=1 SV=5	36	36	1.000	20	16	20	16	20.000	16.000	 
260.0	1	sp|P06989|HIS2_ECOLI	 	9.4	203	22756	Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) OX=83333 GN=hisI PE=3 SV=3	8	8	1.000	3	5	3	5	3.000	5.000	 
261.0	1	sp|P06992|RSMA_ECOLI	 	27.5	273	30420	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) OX=83333 GN=rsmA PE=1 SV=1	17	17	1.000	8	9	8	9	8.000	9.000	 
262.0	1	sp|P06993|MALT_ECOLI	 	44.8	901	103117	HTH-type transcriptional regulator MalT OS=Escherichia coli (strain K12) OX=83333 GN=malT PE=1 SV=2	108	108	1.000	60	48	60	48	60.000	48.000	 
263.0	1	sp|P06996|OMPC_ECOLI	 	36.5	367	40368	Outer membrane protein C OS=Escherichia coli (strain K12) OX=83333 GN=ompC PE=1 SV=1	35	30	0.857	20	15	18	12	20.000	14.923	sp|P06996|OMPC_ECOLI, sp|P21420|NMPC_ECOLI, sp|P77747|OMPN_ECOLI
264.0	1	sp|P06999|PFKB_ECOLI	 	56.3	309	32456	ATP-dependent 6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) OX=83333 GN=pfkB PE=1 SV=2	39	39	1.000	22	17	22	17	22.000	17.000	 
265.0	1	sp|P07000|PLDB_ECOLI	 	22.4	340	38978	Lysophospholipase L2 OS=Escherichia coli (strain K12) OX=83333 GN=pldB PE=1 SV=4	9	9	1.000	5	4	5	4	5.000	4.000	 
266.0	1	sp|P07001|PNTA_ECOLI	 	29.4	510	54623	NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=pntA PE=1 SV=2	32	32	1.000	20	12	20	12	20.000	12.000	 
267.0	1	sp|P07003|POXB_ECOLI	 	42.5	572	62011	Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) OX=83333 GN=poxB PE=1 SV=1	87	87	1.000	48	39	48	39	48.000	39.000	 
268.0	1	sp|P07012|RF2_ECOLI	 	49.0	365	41250	Peptide chain release factor RF2 OS=Escherichia coli (strain K12) OX=83333 GN=prfB PE=1 SV=3	76	76	1.000	42	34	42	34	42.000	34.000	 
269.0	1	sp|P07013|PRIB_ECOLI	 	39.4	104	11442	Primosomal replication protein N OS=Escherichia coli (strain K12) OX=83333 GN=priB PE=1 SV=3	3	3	1.000	2	1	2	1	2.000	1.000	 
270.0	1	sp|P07014|SDHB_ECOLI	 	75.2	238	26770	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhB PE=1 SV=1	134	134	1.000	75	59	75	59	75.000	59.000	 
271.0	1	sp|P07017|MCP2_ECOLI	 	15.6	553	59943	Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) OX=83333 GN=tar PE=1 SV=2	12	10	0.833	7	5	6	4	6.667	4.400	sp|P02942|MCP1_ECOLI, sp|P07017|MCP2_ECOLI, sp|P07018|MCP4_ECOLI, sp|P50466|AER_ECOLI
272.0	1	sp|P07018|MCP4_ECOLI	 	3.4	533	57511	Methyl-accepting chemotaxis protein IV OS=Escherichia coli (strain K12) OX=83333 GN=tap PE=1 SV=2	3	1	0.333	2	1	1	0	1.111	0.000	sp|P02942|MCP1_ECOLI, sp|P07017|MCP2_ECOLI, sp|P07018|MCP4_ECOLI, sp|P50466|AER_ECOLI
273.0	1	sp|P07023|TYRA_ECOLI	 	32.7	373	42042	T-protein OS=Escherichia coli (strain K12) OX=83333 GN=tyrA PE=1 SV=1	25	25	1.000	15	10	15	10	15.000	10.000	 
274.0	1	sp|P07024|USHA_ECOLI	 	47.8	550	60823	Protein UshA OS=Escherichia coli (strain K12) OX=83333 GN=ushA PE=1 SV=2	57	57	1.000	33	24	33	24	33.000	24.000	 
275.0	1	sp|P07026|SDIA_ECOLI	 	8.3	240	28117	Regulatory protein SdiA OS=Escherichia coli (strain K12) OX=83333 GN=sdiA PE=1 SV=2	3	3	1.000	1	2	1	2	1.000	2.000	 
276.0	1	sp|P07102|PPA_ECOLI	 	45.6	432	47056	Periplasmic AppA protein OS=Escherichia coli (strain K12) OX=83333 GN=appA PE=1 SV=2	63	63	1.000	36	27	36	27	36.000	27.000	 
277.0	1	sp|P07109|HISP_ECOLI	 	26.8	257	28653	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) OX=83333 GN=hisP PE=1 SV=2	11	11	1.000	4	7	4	7	4.000	7.000	 
278.0	1	sp|P07117|PUTP_ECOLI	 	5.6	502	54344	Sodium/proline symporter OS=Escherichia coli (strain K12) OX=83333 GN=putP PE=1 SV=1	5	5	1.000	3	2	3	2	3.000	2.000	 
279.0	1	sp|P07118|SYV_ECOLI	 	65.1	951	108191	Valine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=valS PE=1 SV=2	243	243	1.000	144	99	144	99	144.000	99.000	 
280.0	1	sp|P07330|CHEB_ECOLI	 	7.4	349	37467	Chemotaxis response regulator protein-glutamate methylesterase OS=Escherichia coli (strain K12) OX=83333 GN=cheB PE=1 SV=3	4	4	1.000	2	2	2	2	2.000	2.000	 
281.0	1	sp|P07363|CHEA_ECOLI	 	8.1	654	71382	Chemotaxis protein CheA OS=Escherichia coli (strain K12) OX=83333 GN=cheA PE=1 SV=3	11	11	1.000	7	4	7	4	7.000	4.000	 
282.0	1	sp|P07395|SYFB_ECOLI	 	67.3	795	87377	Phenylalanine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) OX=83333 GN=pheT PE=1 SV=2	157	157	1.000	90	67	90	67	90.000	67.000	 
283.0	1	sp|P07604|TYRR_ECOLI	 	53.8	513	57655	Transcriptional regulatory protein TyrR OS=Escherichia coli (strain K12) OX=83333 GN=tyrR PE=1 SV=2	76	76	1.000	41	35	41	35	41.000	35.000	 
284.0	1	sp|P07639|AROB_ECOLI	 	68.5	362	38881	3-dehydroquinate synthase OS=Escherichia coli (strain K12) OX=83333 GN=aroB PE=1 SV=1	66	66	1.000	37	29	37	29	37.000	29.000	 
285.0	1	sp|P07648|RECC_ECOLI	 	17.6	1122	128846	RecBCD enzyme subunit RecC OS=Escherichia coli (strain K12) OX=83333 GN=recC PE=1 SV=1	29	29	1.000	16	13	16	13	16.000	13.000	 
286.0	1	sp|P07649|TRUA_ECOLI	 	30.0	270	30399	tRNA pseudouridine synthase A OS=Escherichia coli (strain K12) OX=83333 GN=truA PE=1 SV=1	13	13	1.000	7	6	7	6	7.000	6.000	 
287.0	1	sp|P07650|TYPH_ECOLI	 	54.8	440	47207	Thymidine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=deoA PE=1 SV=3	56	56	1.000	32	24	32	24	32.000	24.000	 
288.0	1	sp|P07762|GLGB_ECOLI	 	40.9	728	84336	1,4-alpha-glucan branching enzyme GlgB OS=Escherichia coli (strain K12) OX=83333 GN=glgB PE=1 SV=1	93	93	1.000	53	40	53	40	53.000	40.000	 
289.0	1	sp|P07813|SYL_ECOLI	 	66.0	860	97233	Leucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=leuS PE=1 SV=2	290	290	1.000	169	121	169	121	169.000	121.000	 
290.0	1	sp|P07821|FHUC_ECOLI	 	20.4	265	28886	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) OX=83333 GN=fhuC PE=1 SV=3	10	10	1.000	6	4	6	4	6.000	4.000	 
291.0	1	sp|P07862|DDLB_ECOLI	 	41.8	306	32839	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) OX=83333 GN=ddlB PE=1 SV=3	29	29	1.000	16	13	16	13	16.000	13.000	 
292.0	1	sp|P07913|TDH_ECOLI	 	44.6	341	37239	L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=tdh PE=1 SV=1	108	108	1.000	70	38	70	38	70.000	38.000	 
293.0	1	sp|P08142|ILVB_ECOLI	 	28.1	562	60440	Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) OX=83333 GN=ilvB PE=1 SV=1	24	24	1.000	13	11	13	11	13.000	11.000	 
294.0	1	sp|P08178|PUR5_ECOLI	 	19.4	345	36854	Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) OX=83333 GN=purM PE=1 SV=3	11	11	1.000	6	5	6	5	6.000	5.000	 
295.0	1	sp|P08179|PUR3_ECOLI	 	24.5	212	23238	Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=purN PE=1 SV=1	11	11	1.000	6	5	6	5	6.000	5.000	 
296.0	1	sp|P08192|FOLC_ECOLI	 	49.5	422	45405	Dihydrofolate synthase/folylpolyglutamate synthase OS=Escherichia coli (strain K12) OX=83333 GN=folC PE=1 SV=2	46	46	1.000	25	21	25	21	25.000	21.000	 
297.0	1	sp|P08194|GLPT_ECOLI	 	22.3	452	50310	Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) OX=83333 GN=glpT PE=1 SV=1	42	42	1.000	24	18	24	18	24.000	18.000	 
298.0	1	sp|P08200|IDH_ECOLI	 	76.2	416	45756	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) OX=83333 GN=icd PE=1 SV=1	369	369	1.000	207	162	207	162	207.000	162.000	 
299.0	1	sp|P08201|NIRB_ECOLI	 	15.2	847	93120	Nitrite reductase (NADH) large subunit OS=Escherichia coli (strain K12) OX=83333 GN=nirB PE=3 SV=4	21	21	1.000	13	8	13	8	13.000	8.000	 
300.0	1	sp|P08202|ARAA_ECOLI	 	19.0	500	56073	L-arabinose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=araA PE=1 SV=3	28	28	1.000	16	12	16	12	16.000	12.000	 
301.0	1	sp|P08204|ARAB_ECOLI	 	8.1	566	61089	Ribulokinase OS=Escherichia coli (strain K12) OX=83333 GN=araB PE=1 SV=4	6	6	1.000	4	2	4	2	4.000	2.000	 
302.0	1	sp|P08244|PYRF_ECOLI	 	53.9	245	26350	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=pyrF PE=1 SV=1	22	22	1.000	12	10	12	10	12.000	10.000	 
303.0	1	sp|P08245|YCIH_ECOLI	 	47.2	108	11396	Uncharacterized protein YciH OS=Escherichia coli (strain K12) OX=83333 GN=yciH PE=1 SV=1	10	10	1.000	7	3	7	3	7.000	3.000	 
304.0	1	sp|P08312|SYFA_ECOLI	 	56.6	327	36831	Phenylalanine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) OX=83333 GN=pheS PE=1 SV=2	69	69	1.000	41	28	41	28	41.000	28.000	 
305.0	1	sp|P08331|CPDB_ECOLI	 	49.1	647	70831	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) OX=83333 GN=cpdB PE=1 SV=2	88	88	1.000	46	42	46	42	46.000	42.000	 
306.0	1	sp|P08337|MUTT_ECOLI	 	33.3	129	14927	8-oxo-dGTP diphosphatase OS=Escherichia coli (strain K12) OX=83333 GN=mutT PE=1 SV=1	4	4	1.000	3	1	3	1	3.000	1.000	 
307.0	1	sp|P08368|CREB_ECOLI	 	14.8	229	26125	Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) OX=83333 GN=creB PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
308.0	1	sp|P08373|MURB_ECOLI	 	43.3	342	37851	UDP-N-acetylenolpyruvoylglucosamine reductase OS=Escherichia coli (strain K12) OX=83333 GN=murB PE=1 SV=1	29	29	1.000	16	13	16	13	16.000	13.000	 
309.0	1	sp|P08390|USG_ECOLI	 	36.5	337	36364	USG-1 protein OS=Escherichia coli (strain K12) OX=83333 GN=usg PE=1 SV=1	30	30	1.000	18	12	18	12	18.000	12.000	 
310.0	1	sp|P08394|RECB_ECOLI	 	16.9	1180	133957	RecBCD enzyme subunit RecB OS=Escherichia coli (strain K12) OX=83333 GN=recB PE=1 SV=1	35	35	1.000	18	17	18	17	18.000	17.000	 
311.0	1	sp|P08395|SPPA_ECOLI	 	19.6	618	67219	Protease 4 OS=Escherichia coli (strain K12) OX=83333 GN=sppA PE=1 SV=2	13	13	1.000	10	3	10	3	10.000	3.000	 
312.0	1	sp|P08506|DACC_ECOLI	 	61.0	400	43608	D-alanyl-D-alanine carboxypeptidase DacC OS=Escherichia coli (strain K12) OX=83333 GN=dacC PE=1 SV=2	64	62	0.969	34	30	33	29	33.485	29.518	sp|P08506|DACC_ECOLI, sp|P0AEB2|DACA_ECOLI
313.0	1	sp|P08622|DNAJ_ECOLI	 	39.4	376	41100	Chaperone protein DnaJ OS=Escherichia coli (strain K12) OX=83333 GN=dnaJ PE=1 SV=3	53	53	1.000	29	24	29	24	29.000	24.000	 
314.0	1	sp|P08660|AK3_ECOLI	 	18.7	449	48531	Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) OX=83333 GN=lysC PE=1 SV=2	13	13	1.000	7	6	7	6	7.000	6.000	 
315.0	1	sp|P08839|PT1_ECOLI	 	62.3	575	63561	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ptsI PE=1 SV=1	217	217	1.000	130	87	130	87	130.000	87.000	 
316.0	1	sp|P08956|T1RK_ECOLI	 	1.6	1170	134093	Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) OX=83333 GN=hsdR PE=3 SV=3	2	2	1.000	2	0	2	0	2.000	0.000	 
317.0	1	sp|P08997|MASY_ECOLI	 	67.0	533	60273	Malate synthase A OS=Escherichia coli (strain K12) OX=83333 GN=aceB PE=1 SV=1	317	317	1.000	193	124	193	124	193.000	124.000	 
318.0	1	sp|P09029|PURK_ECOLI	 	14.1	355	39461	N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) OX=83333 GN=purK PE=1 SV=2	10	10	1.000	7	3	7	3	7.000	3.000	 
319.0	1	sp|P09030|EX3_ECOLI	 	51.9	268	30969	Exodeoxyribonuclease III OS=Escherichia coli (strain K12) OX=83333 GN=xthA PE=1 SV=4	42	42	1.000	25	17	25	17	25.000	17.000	 
320.0	1	sp|P09053|AVTA_ECOLI	 	19.9	417	46711	Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=avtA PE=1 SV=3	19	19	1.000	11	8	11	8	11.000	8.000	 
321.0	1	sp|P09099|XYLB_ECOLI	 	11.4	484	52618	Xylulose kinase OS=Escherichia coli (strain K12) OX=83333 GN=xylB PE=1 SV=1	8	8	1.000	5	3	5	3	5.000	3.000	 
322.0	1	sp|P09126|HEM4_ECOLI	 	45.5	246	27798	Uroporphyrinogen-III synthase OS=Escherichia coli (strain K12) OX=83333 GN=hemD PE=3 SV=1	19	19	1.000	11	8	11	8	11.000	8.000	 
323.0	1	sp|P09127|HEMX_ECOLI	 	62.3	393	42963	Protein HemX OS=Escherichia coli (strain K12) OX=83333 GN=hemX PE=1 SV=1	56	56	1.000	34	22	34	22	34.000	22.000	 
324.0	1	sp|P09147|GALE_ECOLI	 	74.6	338	37265	UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=galE PE=1 SV=1	243	243	1.000	136	107	136	107	136.000	107.000	 
325.0	1	sp|P09148|GAL7_ECOLI	 	47.7	348	39645	Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=galT PE=1 SV=2	75	75	1.000	38	37	38	37	38.000	37.000	 
326.0	1	sp|P09151|LEU1_ECOLI	 	5.4	523	57297	2-isopropylmalate synthase OS=Escherichia coli (strain K12) OX=83333 GN=leuA PE=1 SV=5	7	7	1.000	4	3	4	3	4.000	3.000	 
327.0	1	sp|P09152|NARG_ECOLI	 	55.9	1247	140488	Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) OX=83333 GN=narG PE=1 SV=4	154	126	0.818	91	63	74	52	90.773	63.000	sp|P09152|NARG_ECOLI, sp|P19319|NARZ_ECOLI
328.0	1	sp|P09155|RND_ECOLI	 	31.2	375	42734	Ribonuclease D OS=Escherichia coli (strain K12) OX=83333 GN=rnd PE=1 SV=1	17	17	1.000	10	7	10	7	10.000	7.000	 
329.0	1	sp|P09158|SPEE_ECOLI	 	18.1	288	32321	Polyamine aminopropyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=speE PE=1 SV=2	10	10	1.000	5	5	5	5	5.000	5.000	 
330.0	1	sp|P09169|OMPT_ECOLI	 	57.7	317	35562	Protease 7 OS=Escherichia coli (strain K12) OX=83333 GN=ompT PE=1 SV=1	35	35	1.000	20	15	20	15	20.000	15.000	 
331.0	1	sp|P09323|PTW3C_ECOLI	 	27.2	648	68346	PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) OX=83333 GN=nagE PE=1 SV=1	49	49	1.000	30	19	30	19	30.000	19.000	 
332.0	1	sp|P09372|GRPE_ECOLI	 	64.0	197	21798	Protein GrpE OS=Escherichia coli (strain K12) OX=83333 GN=grpE PE=1 SV=1	110	110	1.000	68	42	68	42	68.000	42.000	 
333.0	1	sp|P09373|PFLB_ECOLI	 	71.1	760	85356	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2	714	666	0.933	417	297	393	273	416.706	296.611	sp|P09373|PFLB_ECOLI, sp|P42632|TDCE_ECOLI, sp|P68066|GRCA_ECOLI
334.0	1	sp|P09394|GLPQ_ECOLI	 	64.2	358	40843	Glycerophosphodiester phosphodiesterase, periplasmic OS=Escherichia coli (strain K12) OX=83333 GN=glpQ PE=1 SV=2	91	91	1.000	54	37	54	37	54.000	37.000	 
335.0	1	sp|P09424|MTLD_ECOLI	 	57.3	382	41139	Mannitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=mtlD PE=1 SV=3	74	74	1.000	40	34	40	34	40.000	34.000	 
336.0	1	sp|P09546|PUTA_ECOLI	 	45.5	1320	143813	Bifunctional protein PutA OS=Escherichia coli (strain K12) OX=83333 GN=putA PE=1 SV=3	174	174	1.000	95	79	95	79	95.000	79.000	 
337.0	1	sp|P09549|DEDD_ECOLI	 	26.8	220	22938	Cell division protein DedD OS=Escherichia coli (strain K12) OX=83333 GN=dedD PE=3 SV=2	12	12	1.000	6	6	6	6	6.000	6.000	 
338.0	1	sp|P09551|ARGT_ECOLI	 	70.4	260	27991	Lysine/arginine/ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=argT PE=1 SV=3	58	54	0.931	29	29	27	27	28.000	28.174	sp|P09551|ARGT_ECOLI, sp|P0AEU0|HISJ_ECOLI
339.0	1	sp|P09831|GLTB_ECOLI	 	33.6	1486	163295	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) OX=83333 GN=gltB PE=1 SV=3	89	89	1.000	49	40	49	40	49.000	40.000	 
340.0	1	sp|P09832|GLTD_ECOLI	 	34.7	472	52015	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) OX=83333 GN=gltD PE=1 SV=3	31	31	1.000	19	12	19	12	19.000	12.000	 
341.0	1	sp|P09835|UHPB_ECOLI	 	3.2	500	56305	Signal transduction histidine-protein kinase/phosphatase UhpB OS=Escherichia coli (strain K12) OX=83333 GN=uhpB PE=1 SV=3	2	2	1.000	2	0	2	0	2.000	0.000	 
342.0	1	sp|P09980|REP_ECOLI	 	38.0	673	77023	ATP-dependent DNA helicase Rep OS=Escherichia coli (strain K12) OX=83333 GN=rep PE=1 SV=3	44	44	1.000	23	21	23	21	23.000	21.000	 
343.0	1	sp|P0A698|UVRA_ECOLI	 	44.9	940	103866	UvrABC system protein A OS=Escherichia coli (strain K12) OX=83333 GN=uvrA PE=1 SV=1	99	99	1.000	56	43	56	43	56.000	43.000	 
344.0	1	sp|P0A6A0|UBIB_ECOLI	 	14.8	546	63202	Probable protein kinase UbiB OS=Escherichia coli (strain K12) OX=83333 GN=ubiB PE=1 SV=1	13	13	1.000	6	7	6	7	6.000	7.000	 
345.0	1	sp|P0A6A3|ACKA_ECOLI	 	57.5	400	43290	Acetate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ackA PE=1 SV=1	68	68	1.000	37	31	37	31	37.000	31.000	 
346.0	1	sp|P0A6A6|LEUC_ECOLI	 	13.3	466	49881	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) OX=83333 GN=leuC PE=1 SV=2	8	8	1.000	5	3	5	3	5.000	3.000	 
347.0	1	sp|P0A6A8|ACP_ECOLI	 	41.0	78	8639	Acyl carrier protein OS=Escherichia coli (strain K12) OX=83333 GN=acpP PE=1 SV=2	50	50	1.000	30	20	30	20	30.000	20.000	 
