New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Sun Apr 28 10:10:54 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	PSMs_Used_TMT1	TotInt_126C_TMT1	TotInt_127N_TMT1	TotInt_127C_TMT1	TotInt_128N_TMT1	TotInt_128C_TMT1	TotInt_129N_TMT1	TotInt_129C_TMT1	TotInt_130N_TMT1	TotInt_130C_TMT1	TotInt_131N_TMT1	TotInt_131C_TMT1	PSMs_Used_TMT2	TotInt_126C_TMT2	TotInt_127N_TMT2	TotInt_127C_TMT2	TotInt_128N_TMT2	TotInt_128C_TMT2	TotInt_129N_TMT2	TotInt_129C_TMT2	TotInt_130N_TMT2	TotInt_130C_TMT2	TotInt_131N_TMT2	TotInt_131C_TMT2
107	1	sp|P00915|CAH1_HUMAN	 	 	 	 	24.1	261	28870	Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	20	20	1.000	10	10	10	10	10.000	10.000	10	444049.369385	372292.389345	55917.92230299999	584275.4559340001	268693.47262599994	875538.375977	1525518.444337	742690.6309820001	841411.598144	1049088.082764	16149.23169	10	241231.39392	94612.96578999999	114874.765564	148808.16388	149513.620269	873571.1611329999	416515.595093	287908.34094100003	651292.232544	822172.937255	10511.486052999999
108	1	sp|P00918|CAH2_HUMAN	 	 	 	 	19.6	260	29246	Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2	10	10	1.000	5	5	5	5	5.000	5.000	5	112064.32080100001	56473.530274000004	16852.20166	87221.212646	33971.273743	121672.115967	188351.026855	104512.52856600001	122619.69384800001	147011.45947300002	3012.067046	5	40706.19738799999	32983.280885	38814.54492100001	34766.533568	38923.628295	111630.33593799999	55206.701415	49057.484375	77166.898194	136286.21337900002	1945.345825
109	1	sp|P01008|ANT3_HUMAN	 	 	 	 	71.1	464	52602	Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	936	936	1.000	483	453	483	453	483.000	453.000	483	317715472.5985773	208633909.15188593	29558515.444624	225074012.63901407	100831495.054385	240830558.688903	282608273.62017494	239445314.30845115	233565614.1189911	311452910.93927413	6500928.412580004	453	69580755.42677402	100784120.44476585	62573323.17569604	114320385.610172	123943294.9350021	121521649.04684298	139508301.24776793	113250283.58544905	82319668.74130508	132373819.51273192	1673720.4472530005
110	1	sp|P01009|A1AT_HUMAN	 	 	 	 	35.4	418	46736	Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3	55	55	1.000	25	30	25	30	25.000	30.000	25	2159015.181883	1074374.34326	209356.370909	1022068.3338600002	595400.940183	595080.748658	3014976.715822	1665434.7811260002	1405788.438843	1659202.228943	16689.037323	30	1949005.4997540002	342147.47402900003	2825948.7172839995	661015.445434	1168752.559814	694352.083558	1320847.8326710002	716405.1806650001	265219.3773190001	1135986.5593579998	2340.132324
111	1	sp|P01011|AACT_HUMAN	 	 	 	 	59.3	423	47650	Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2	1178	1178	1.000	591	587	591	587	591.000	587.000	591	602981485.4926155	385708334.9217376	53441311.63275502	477957046.1305679	200272695.67018473	415581610.5375525	604214081.8809738	692585104.8536745	475251278.6782257	470764578.1204588	8507503.909876997	587	138343571.504242	149107044.86568123	178624598.3105922	143979821.87721115	203840668.4857921	219845188.42496985	196419153.86695713	170261815.52057096	132563582.61306013	246969695.262427	4681024.994718001
112	1	sp|P01019|ANGT_HUMAN	 	 	 	 	60.6	485	53154	Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1	213	213	1.000	100	113	100	113	100.000	113.000	100	44382243.43279999	63412219.90640499	4117372.985901001	52054253.572993994	17945834.880797993	49630375.58111901	37880929.856874	32502593.83151101	27071563.282040004	34767929.98523398	408211.00296199997	113	11088813.072038999	16587151.167691002	12196280.318762999	19727557.28641	11933933.117277002	17062625.204710998	26305610.300625008	17083848.477387004	11878701.228517996	19794169.57129199	2498.4493719999996
113	1	sp|P01023|A2MG_HUMAN	 	 	sp|P01023|A2MG_HUMAN, sp|P20742|PZP_HUMAN	 	81.3	1474	163289	Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	4950	4564	0.922	2431	2519	2230	2334	2424.713	2513.166	2230	8738333115.463587	2052700025.0394173	848263718.052774	3180296580.2110033	1786005562.0517874	4997383923.114206	3521815241.9665303	5000784883.563796	5499105954.093758	3797928128.4527135	180428598.6695201	2334	1447574264.6350725	1887051534.423883	1449114485.4933481	2505107096.9047804	2580218957.2401395	1870996229.784252	2154269987.157437	2273740873.9225864	1250014771.1982372	6044032857.30674	1916419.3587020005
114	1	sp|P01024|CO3_HUMAN	 	 	 	 	85.3	1663	187146	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	5809	5809	1.000	3149	2660	3149	2660	3149.000	2660.000	3149	3931801548.645755	3578005501.35171	349963903.1043074	3451048270.0460134	1438893312.090715	3387068578.1238422	5687719465.233005	2942696535.746195	4376352892.866049	3698436796.9882336	135436407.54060206	2660	1174721698.6384804	1198089141.5210223	1721902244.5151618	1391781642.7895863	1283814138.0912268	1441431991.5716999	1119805729.7043233	1320715115.957313	759237286.3721428	843712195.0869342	6108896.167284003
115	1	sp|P01031|CO5_HUMAN	 	 	 	 	52.9	1676	188303	Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4	623	623	1.000	320	303	320	303	320.000	303.000	320	120658576.97876897	96741844.48468803	7980540.955758004	80243626.97555205	41101792.33859395	116921564.67260802	113330190.91083407	88994460.00353196	95569932.250915	108717467.34378204	3617776.004608	303	14670913.435948001	18642814.505770992	15166270.446576009	24758413.38117299	23812751.07733199	26124689.235718008	26556407.656825006	18966902.879579995	14757272.014328992	23402250.801791996	306354.117065
116	1	sp|P01033|TIMP1_HUMAN	 	 	 	 	13.5	207	23171	Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1	6	6	1.000	3	3	3	3	3.000	3.000	3	32251.351318	21518.749268000003	3899.125427	26097.832031	11543.315306999999	35500.07251	41738.01220699999	75562.85644599999	30410.924560999996	39844.42187500001	150.0	3	5047.387451	4416.3718260000005	4836.494873	4517.7301640000005	5774.073059	7482.70349	11351.798340000001	6549.606505999999	5238.493622	13841.688721	150.0
117	1	sp|P01034|CYTC_HUMAN	 	 	 	 	37.0	146	15799	Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1	30	30	1.000	15	15	15	15	15.000	15.000	15	511704.763427	165312.470063	43704.918700999995	442516.955445	98712.56591699999	222174.64395200007	682740.3291019999	306102.17455899995	478803.59118799993	294908.467102	8936.909149	15	89096.53094300002	112427.12884600002	107836.361448	113538.760803	114214.50918500002	156871.225466	136954.67596300002	105208.33666900003	63602.412079	218806.05505300002	1426.384064
118	1	sp|P01040|CYTA_HUMAN	 	 	 	 	35.7	98	11006	Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1	10	10	1.000	4	6	4	6	4.000	6.000	4	163273.79980500002	164522.226562	20317.318847000002	292962.156249	103270.606445	171693.492188	170101.775391	299504.429687	140669.652344	158607.660155	4379.071716	6	44461.80297900001	57630.530396	52791.869141999996	74732.780762	47601.924317000005	45264.895997	104067.414794	61391.548828	57207.830566000004	58220.97558499999	651.743103
119	1	sp|P01042|KNG1_HUMAN	 	 	 	 	50.3	644	71957	Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2	867	867	1.000	471	396	471	396	471.000	396.000	471	548658470.3920603	662518597.0250841	51816637.871323	652251759.0067148	287924341.821898	500353962.24372184	594531367.8176322	649441742.7578129	607896890.4030188	775586408.3262379	14006498.541029	396	243040462.4473431	225845234.25330403	294035148.408779	205658909.189125	195090390.58572105	192176146.4783059	244697040.56430298	220360744.09219903	131839565.15336497	246648853.25294012	1102385.5483109998
120	1	sp|P01137|TGFB1_HUMAN	 	 	 	 	7.4	390	44341	Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=2	4	4	1.000	3	1	3	1	3.000	1.000	3	31111.814819	18485.895416	5680.210114	16875.734924	9894.659759999999	29568.203125	33319.150635	32861.470947	29185.118286	42268.941162	150.0	1	455.820312	1364.040161	1748.080811	1515.84668	2076.085693	2070.75293	2764.93042	1600.7109380000002	1307.167358	2543.019775	150.0
121	1	sp|P01591|IGJ_HUMAN	 	 	 	 	20.8	159	18098	Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4	12	12	1.000	8	4	8	4	8.000	4.000	8	118193.839356	121557.360352	4514.262634	205016.95556600002	82649.17089799998	70289.208923	162483.919801	161660.74682600002	138333.142089	173766.48339799998	150.0	4	55143.683594	44466.497559	45874.160644999996	56864.151367	50310.916014999995	73287.044433	92456.25195199999	93977.57128999999	51015.984863000005	73907.087891	150.0
122	1	sp|P01833|PIGR_HUMAN	 	 	 	 	5.5	764	83283	Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4	8	8	1.000	1	7	1	7	1.000	7.000	1	20623.439453	10355.050781	1093.4064939999998	11773.767578	3063.7104489999997	6870.845215	9732.955078	5535.018555	10043.571289	7605.510254000001	150.0	7	26417.680420999997	28695.497742	23969.023712000002	49231.81311	36805.233399000004	55988.21936	37441.987303	63547.250855	22098.094239	85186.986573	150.0
123	1	sp|P01834|IGKC_HUMAN	 	 	 	 	35.5	107	11765	Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2	9	9	1.000	5	4	5	4	5.000	4.000	5	44790.174561	20710.498352	3604.7041319999994	22512.97467	16053.163087	17999.335449	41281.837403000005	30263.807495	26978.288940000002	34802.518798	587.909179	4	49088.403809	44632.26861499999	55159.17212	41305.31402600001	42742.297301	44547.294433999996	59473.869751000006	41636.985716999996	38977.483947999994	51626.893006	150.0
124	1	sp|P01857|IGHG1_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P01861|IGHG4_HUMAN	 	39.7	330	36105	Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1	51	13	0.255	27	24	7	6	18.850	12.141	7	695823.860352	137878.322754	37050.058899	242908.97229	70642.511811	148394.78039700002	707163.1954349999	326703.63458199997	213895.748168	4036206.84845	847.639282	6	20479.819946999996	18397.45288	25057.612792	16020.63867	18574.931823	19745.649169	17687.791321000004	21592.725341	16106.370117000002	22796.974243999997	662.0676269999999
125	1	sp|P01859|IGHG2_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P01861|IGHG4_HUMAN	 	24.8	326	35900	Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2	52	3	0.058	29	23	1	2	6.505	5.846	1	154467.90625	35885.589844	15469.908203	70349.914062	23795.642578	26702.601562	205467.5	47638.152344	44668.648438	31496.404297000005	150.0	2	8277.510498	7985.269042	8711.814697	8966.250732	6871.381592	9429.890136	11482.935547000001	9144.675293	9718.978027000001	8971.78418	271.282471
126	1	sp|P01860|IGHG3_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P01861|IGHG4_HUMAN	 	29.7	377	41287	Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2	63	7	0.111	34	29	2	5	13.965	15.894	2	44772.328125	34659.0625	6569.177734000001	37934.730469	20028.491211	30401.177734	39466.973633	56301.058592999994	48978.935547	40898.712891	910.7974849999999	5	97965.69458099999	58423.94043	82542.149903	46418.486328	73696.874756	49757.225341	168148.255614	33003.546143	49667.35791	45548.537597999995	1652.9182739999999
127	1	sp|P01861|IGHG4_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P01861|IGHG4_HUMAN	 	40.7	327	35940	Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1	52	33	0.635	24	28	16	17	21.680	24.119	16	507630.4179680001	333976.14843699994	45941.647094	431531.27734300017	210499.65411399995	409009.222656	516343.541992	416335.987793	371559.5000020001	391862.47754100006	804.80835	17	284148.411804	259596.579407	282605.257996	251516.953431	393074.071288	294366.46155	377792.937134	298834.248471	263170.2334600001	414044.813967	832.476196
128	1	sp|P01871|IGHM_HUMAN	 	 	 	 	15.5	453	49439	Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4	27	27	1.000	12	15	12	15	12.000	15.000	12	1878236.702149	1905880.7487789998	223138.51696600002	2006262.449952	2117676.9746089997	1304932.621092	3580097.486327	4479398.343018	5157765.704833	3385302.451171	190030.27105699998	15	2339276.8364260006	1494687.6324470001	1977301.961365	3603174.790344	1285559.9545299998	4890037.513672	3789260.3708499996	1800282.1325669999	1381533.117767	3427091.7164310003	3811.248963
129	1	sp|P01876|IGHA1_HUMAN	 	 	 	 	5.1	353	37654	Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2	6	6	1.000	4	2	4	2	4.000	2.000	4	385553.193359	169877.484435	34909.304809	160969.094726	60017.39056399999	153552.30908099998	305426.420899	176399.327881	111352.16333	146952.185914	998.234772	2	20483.798339999998	21291.349121	26583.243652	27664.756836	18349.522949	23290.806641000003	45494.141601	35515.037109	32274.674805000002	28752.6875	150.0
130	1	sp|P01891|1A68_HUMAN	 	 	sp|P01891|1A68_HUMAN, sp|P01893|HLAH_HUMAN, sp|Q31612|1B73_HUMAN	 	9.0	365	40908	HLA class I histocompatibility antigen, A-68 alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=4	3	1	0.333	2	1	1	0	1.250	0.000	1	33307.070312	23805.519531	10324.816406	32197.771483999997	26141.771484	60217.87890599999	48215.003906	29216.400391000003	35662.003906	27878.501952999995	1105.577393	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	1	sp|P01893|HLAH_HUMAN	 	 	sp|P01891|1A68_HUMAN, sp|P01893|HLAH_HUMAN, sp|Q31612|1B73_HUMAN	 	13.0	362	40891	Putative HLA class I histocompatibility antigen, alpha chain H OS=Homo sapiens OX=9606 GN=HLA-H PE=5 SV=3	6	3	0.500	2	4	1	2	1.250	3.333	1	8211.185547	3329.846436	990.2786869999999	5105.203613000001	2489.011475	6034.981934	7269.399901999999	5911.314453	4867.689453	4967.365234000001	150.0	2	1607.029907	2362.858643	1951.257812	1900.7840579999997	2646.532959	2227.9794920000004	2030.448486	1588.32251	920.046509	4048.989746	150.0
133	1	sp|P02452|CO1A1_HUMAN	 	 	 	 	4.2	1464	138940	Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5	12	12	1.000	4	8	4	8	4.000	8.000	4	88757.728516	77427.37793	31809.171143	94030.183594	76328.60498	85018.143555	106901.54297000001	109330.984375	106074.003907	90491.243164	4383.6131589999995	8	90288.995971	124029.37243599999	124076.74487299999	564884.593504	116727.460816	195808.375732	121123.17712400001	97235.43725599999	94560.498169	143656.380859	1458.208572
134	1	sp|P02461|CO3A1_HUMAN	 	 	 	 	1.9	1466	138563	Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4	3	3	1.000	2	1	2	1	2.000	1.000	2	21740.696777999998	15518.197266	2571.290771	27171.78125	9737.044494000002	19896.172852	30099.109375	19106.351806	31323.500488	21964.439453000003	599.164001	1	5871.537598	6577.749511999999	8916.268555	15023.163086000002	8292.956055	8468.55957	8783.873047	7798.188965	5491.98291	12759.085938	150.0
135	1	sp|P02533|K1C14_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_138|gi|71531|pir||KRSHL1, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76013|KRT36_HUMAN, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q14525|KT33B_HUMAN, sp|Q14532|K1H2_HUMAN, sp|Q15323|K1H1_HUMAN	 	64.4	472	51561	Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4	329	54	0.164	188	141	30	24	93.526	73.424	30	901065.0664059999	672097.662936	141345.78012299997	3175243.661378001	351320.18316500005	824234.0621930001	860649.090454	2204888.9453119994	618821.997314	691023.628662	6085.280121	24	126906.543182	153847.497682	203331.11535600002	438985.731689	167525.627717	215825.89807199998	384623.12457100005	171429.19216899996	176778.368347	207507.556823	997.234299
136	1	sp|P02545|LMNA_HUMAN	 	 	 	 	4.2	664	74139	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	4	4	1.000	3	1	3	1	3.000	1.000	3	346860.943359	277765.40820299997	52339.926758	656208.023438	148724.084961	327082.027344	297008.619141	363603.929687	401850.257813	323282.167969	13010.782227	1	5623.488281	5481.546386999999	6776.249023	7447.534668000001	7210.675293000001	5882.855469	6992.947265999999	7583.885742	3255.3396	6552.314453	150.0
137	1	sp|P02647|APOA1_HUMAN	 	 	 	 	81.3	267	30777	Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1	621	621	1.000	323	298	323	298	323.000	298.000	323	643041356.2906519	173631963.4689811	60251121.42076702	317921824.51184994	46309864.562382996	239589018.73615605	372749350.95683867	88513626.60595503	226023283.75098196	155689696.26285404	5695221.583986	298	48406028.95069201	159104949.07103595	31917400.15665302	97547876.13335901	330380030.9931879	224501654.68475497	207310377.673162	93835245.77371597	39726597.35016799	135708172.95971704	351275.20150799997
138	1	sp|P02649|APOE_HUMAN	 	 	 	 	72.6	317	36154	Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1	149	149	1.000	65	84	65	84	65.000	84.000	65	9512532.624874998	3272821.470088	872973.083918	3700851.9030439993	1716254.1360439998	6440610.526673	5618747.89746	2985633.6316219997	5016266.206820001	3593904.785952	108832.39956600002	84	1767985.1538690003	2093972.1527059998	1913448.2216490002	5025393.799195002	4820150.489075999	3933390.463497999	6173071.761720999	2722662.987028001	1347095.9692719996	5693341.836976	8430.947418
139	1	sp|P02652|APOA2_HUMAN	 	 	 	 	69.0	100	11175	Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1	95	95	1.000	50	45	50	45	50.000	45.000	50	54579084.765444994	53470448.802705	4789355.730315001	29178659.455444995	8671045.031130001	42537647.29565499	28215702.815553	20799643.472501997	18983448.288942996	20796598.61771	277511.76910400006	45	11089542.718323002	18805020.580812	10836680.981569	22946049.496641	26726383.80542	18947701.459108	26738813.956789	25792979.750612	6028068.880066	16042011.946717	19684.968017000003
140	1	sp|P02654|APOC1_HUMAN	 	 	 	 	36.1	83	9332	Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1	19	19	1.000	8	11	8	11	8.000	11.000	8	1040235.1054690001	409396.773437	103718.684325	427993.160645	221560.032715	682653.083984	506373.05615200003	273523.94287	299765.722656	425092.021972	8578.305785999999	11	341119.63671799994	217750.763186	347846.216796	407318.56640599994	364513.25683699996	282943.02002000005	394241.7080060001	227405.09521300002	110969.700684	358744.41699399997	150.0
141	1	sp|P02655|APOC2_HUMAN	 	 	 	 	47.5	101	11284	Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1	32	32	1.000	14	18	14	18	14.000	18.000	14	895438.5925299999	591558.5856	65869.70770300001	930205.0334470001	212921.939819	1377992.0236810003	1624161.566649	420991.8269040001	678914.982727	780361.631167	1767.5561830000001	18	216162.94265500002	326904.56616300007	336667.15997399995	686028.60547	212642.16207800002	485874.910278	364993.847595	389574.1604610001	77425.27545399999	667527.830813	2052.815674
142	1	sp|P02656|APOC3_HUMAN	 	 	 	 	53.5	99	10852	Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1	74	74	1.000	44	30	44	30	44.000	30.000	44	1193687.414549	501133.329529	95984.894988	808871.1749880002	269203.247771	662411.635864	1028881.004636	432107.01840299997	535697.8430770001	516790.132937	9284.148163	30	202523.705782	257648.61141899996	241574.40527499997	291960.126039	224343.27157399995	293525.8032199999	127659.63424699998	228117.304475	67074.469149	286193.26507799997	222.39489700000001
143	1	sp|P02671|FIBA_HUMAN	 	 	 	 	35.9	866	94972	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	324	324	1.000	160	164	160	164	160.000	164.000	160	17442358.186063994	35867769.53482601	1999732.8177969994	70079694.218752	4994078.587571999	13244270.341039998	10215247.515595997	12091298.968632998	11673593.805783004	16753974.016567001	207323.55867100004	164	3202290.7671509986	6406290.7767600035	7862090.636477998	15114232.470093999	5056217.934118004	5148814.936465001	4894973.076383999	3724236.9213880007	2025523.4068360003	8925924.450077001	28340.911255
144	1	sp|P02675|FIBB_HUMAN	 	 	 	 	23.8	491	55928	Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	57	57	1.000	32	25	32	25	32.000	25.000	32	1978184.2434099999	5430509.336421001	265600.99408100004	8329535.696780001	443298.7400819999	1742569.4114400006	1287089.1052259998	1198564.2628169993	1197396.8055429999	1290673.487794	43935.862701	25	311049.17431500007	503981.57666	1037867.5172120001	3035827.6635729996	388149.5469339999	599078.5391860001	412516.5696429999	427324.159606	192943.89605500002	1186480.4165029998	150.0
145	1	sp|P02679|FIBG_HUMAN	 	 	 	 	19.0	453	51511	Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	44	44	1.000	30	14	30	14	30.000	14.000	30	512246.25061200006	1428016.201783	58797.921632000005	2466199.9040540005	127382.01400699998	444698.15948599996	355941.42266900005	295178.03106700006	301222.80749700003	361903.17340400006	3724.5086819999997	14	51901.61798	93157.215975	206715.663698	542111.40625	62117.241273000014	92335.24365399999	90108.435668	53883.380859	37479.614444000006	235702.36620999998	150.0
146	1	sp|P02741|CRP_HUMAN	 	 	 	 	24.6	224	25038	C-reactive protein OS=Homo sapiens OX=9606 GN=CRP PE=1 SV=1	38	38	1.000	22	16	22	16	22.000	16.000	22	2841231.048096	3020531.7303479994	388071.11331100005	12282217.511718001	8696403.450868	4606212.417667001	9524428.476563	16917014.641844995	3050381.6904899995	1794721.5323810002	18928.147018	16	670690.885254	903408.270507	1278999.439208	370915.24682600005	294109.805054	1600726.6796889997	127117.60064699998	337284.3657220001	82183.75759899999	129324.90539800002	197.563156
147	1	sp|P02743|SAMP_HUMAN	 	 	 	 	38.6	223	25387	Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2	173	173	1.000	91	82	91	82	91.000	82.000	91	76000925.31066898	90005064.09381498	5684745.724670999	69985666.66241498	30973399.894429	74563299.26452298	70153266.71142301	70633225.09106301	80993056.30785498	85783717.038697	2412143.0570079996	82	60678268.02917401	72328472.81805402	105798826.81555401	82013802.293825	61504451.57995201	64341743.13201801	81508999.98694004	69619166.69140802	44598182.35968099	48333505.425721005	317934.429199
148	1	sp|P02745|C1QA_HUMAN	 	 	 	 	8.6	245	26016	Complement C1q subcomponent subunit A OS=Homo sapiens OX=9606 GN=C1QA PE=1 SV=2	17	17	1.000	10	7	10	7	10.000	7.000	10	1262029.750978	893255.008543	95286.665467	2238311.721192	1348200.404786	937806.526856	3366280.680664	2309550.7736810003	2445270.0336909997	3083639.224853	91694.363282	7	552985.788085	313850.95361399994	366303.22265599994	316717.27319399995	329678.876708	317278.409667	573951.7597669999	72100.87475500001	106471.907716	307507.246096	456.96664400000003
149	1	sp|P02746|C1QB_HUMAN	 	 	 	 	33.2	253	26721	Complement C1q subcomponent subunit B OS=Homo sapiens OX=9606 GN=C1QB PE=1 SV=3	87	87	1.000	56	31	56	31	56.000	31.000	56	9364674.907288004	4929685.359160999	708285.2899319999	7758219.645043	3128537.9897040003	7346155.847778001	13468501.385378001	9612143.774414	8971248.292782996	10985627.598882	39351.035980000015	31	2748375.939331	2153578.4255699995	2223099.695618	3632618.7760000005	2632405.045777999	3370114.710205	3854786.8544310005	1750418.867431	1133473.9915150001	2391411.011841999	299.155273
150	1	sp|P02747|C1QC_HUMAN	 	 	 	 	25.3	245	25773	Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3	56	56	1.000	32	24	32	24	32.000	24.000	32	3440137.699706001	2010078.4597130006	353491.1698299999	3027167.0507799997	1459267.1669009996	2450016.915038	5184810.508301	3426401.1940900004	3179059.670895999	3880880.602538	32010.316346000003	24	704572.6626290001	721109.955873	678586.035065	730075.4933490001	620968.520935	860237.978273	870147.3021249999	495932.6169730001	259723.525451	702184.2714239999	1220.93161
151	1	sp|P02748|CO9_HUMAN	 	 	 	 	50.6	559	63173	Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2	310	310	1.000	155	155	155	155	155.000	155.000	155	61411709.33471698	29736329.868488006	5109495.230193999	53789602.21881402	29280336.056609	43158060.59017703	54960143.25335803	83333013.69375798	54941319.89447102	61812261.00994702	1492094.4794009996	155	20994792.210208017	19738920.666442998	29009348.651615992	20437735.058932	25483475.841702994	26334603.137701	22896601.254848007	17837911.097844996	12970312.586458007	22906970.093718994	359474.86474600015
152	1	sp|P02749|APOH_HUMAN	 	 	 	 	59.4	345	38298	Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3	358	358	1.000	215	143	215	143	215.000	143.000	215	164103266.47631902	125038357.16724703	16675497.29493599	171007177.66797203	67157398.602072	149155688.2824409	168565092.563479	158558047.4249201	132828732.08053902	160593003.39294893	2574049.621618001	143	98104478.533023	96580862.56347801	89043743.223448	103334850.99011606	84215065.65380599	105886799.94363801	110882546.94733305	124135348.66009496	59337864.94760401	114192168.44189398	1302733.307496
153	1	sp|P02750|A2GL_HUMAN	 	 	 	 	45.8	347	38177	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2	103	103	1.000	51	52	51	52	51.000	52.000	51	24404144.894591995	17583568.947509	2002849.110444	15594164.306154	7937120.925934001	22133667.074646	21613844.932739995	27763620.077238996	17864596.816099003	21395726.060884003	95253.656556	52	3522445.9848010004	1987166.9846819998	2788831.6654960006	2472938.5652140006	2104347.2081969995	3400886.2853380004	3855766.952667001	2517230.6544790003	1568349.8293180002	3748803.145937001	77102.97849999998
